modele;annee;cylindree;puissance;immatriculation;prix_neuf;nom_marque
Ninja 300;2022;300;39;ABC123;5000;Kawasaki
R1;2023;1000;200;DEF456;15000;Yamaha
Streetfighter V4;2021;1100;208;GHI789;20000;Ducati
GSX-R750;2022;750;148;JKL012;12000;Suzuki
CBR600RR;2023;600;120;MNO345;12000;Honda
S1000RR;2022;1000;207;PQR678;18000;BMW
Monster 821;2023;821;109;STU901;12000;Ducati
Z900;2022;948;125;VWX234;9000;Kawasaki
Ninja ZX-10R;2023;998;200;YZA567;16000;Kawasaki
MT-07;2022;689;73;BCD890;8000;Yamaha
